reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,review_id,manual_screening
4d5194d8-f25d-4a82-9b9f-3817cf297020,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,this app too good,5,0,2.10.0,2024-02-07 8:10,,,2.10.0,pro283788,non-informative
1b5a32af-d2c3-4c4f-8f00-3b71045657ae,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,is very good.I wish it was more affordable,5,0,1.0.6,2023-04-04 11:27,,,1.0.6,pro329778,informative
a591a910-70e3-49e6-8ffe-42790253d058,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,This app literally change my life. and help me so much in my job. I recommend this app for anyone and any age the most important thing you must use it correctly,5,0,a2.2.2,2023-09-12 13:29,,,a2.2.2,pro296835,informative
39751053-5e5d-4330-945c-2d38c66fdeab,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,If this is the future. I'm not impressed I need to repeat 5 times or more my questions. My grandfather can hear better.,1,0,1.0.667532867,2024-09-16 16:14,,,1.0.667532867,pro120445,informative
115f0f63-bf45-4801-87be-66cabc498b1f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,responses were quick and tremendous help,5,0,1.0.626720042,2024-07-16 15:07,,,1.0.626720042,pro133483,informative
2196d206-669f-4239-aa16-7860d92de21f,Dom Sweeting,https://play-lh.googleusercontent.com/a-/ALV-UjVfnvZX_d4hBztscb3L58T8l269hWzLMO6fkYiO8GZ4vpW7iO3H,Most advanced AI I've tried.,5,1,1.3.1,2023-05-13 23:34,,,1.3.1,pro235189,informative
ae0abd51-a2e6-4a2d-bf97-c7864da58741,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Wonderful app you can type any thing and it write it for I recommend,5,0,1.6.5,2023-04-20 13:11,,,1.6.5,pro197444,informative
61cf7554-9f89-4e91-ae54-eacf2afd5068,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,best of all I tried till now,5,0,27.8.420205670,2024-02-20 4:24,,,27.8.420205670,pro261840,non-informative
768da9b2-5b69-4ff6-a497-f6d101a930d2,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,I was using the app on guest mode and didn't close the app. Now after reopening it is crashing consistently. I reinstalled the app as well. but same issue.,3,0,1.2024.275,2024-10-08 13:55,,,1.2024.275,pro1417,informative
46a0b3da-f300-44f4-8f89-62ab3e8f4be4,Phí llíp,https://play-lh.googleusercontent.com/a-/ALV-UjUtnRvsanBeY_DB5GSaWEvl_MypiV8iGHrFPuZFR0dwuVnjQYMU,App freezes when granted access to your contacts,1,7,3.1.8,2024-02-04 3:28,,,3.1.8,pro249275,informative
