reviewId,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,review_id,manual_screening
74d8a6cd-3f6f-4f46-845c-0d73572ab33c,It is such a cool App. Will recommend it,5,0,1.543.170,2024-05-27 17:37,,,1.543.170,pho462752,non-informative
721de6c0-f993-4ea8-804d-a45a0f0d91e8,This app is good,4,0,,2023-01-22 0:36,Hi there! We're glad to hear you like the app. Let us know what we can improve to create a better experience for you to give us 5-stars ⭐⭐⭐⭐⭐ We're here to help! Thanks! ^Chan,2023-01-27 20:40,,pho293677,non-informative
01e4d79f-79a8-4430-8030-23f92481b6d0,Excess advise is harss but app is so good .,4,0,1.462.152,2023-08-27 5:33,,,1.462.152,pho495923,informative
dd9ac914-0230-43dd-b680-8be31c94da93,it's nice as far as I can see but I just started trying it,4,0,3.12.28,2022-09-19 19:49,,,3.12.28,pho658589,non-informative
a0b5790b-fcd2-4786-ba1d-fbb069fea87b,Very nice I like it,5,0,1.564.131,2023-07-06 7:22,,,1.564.131,pho17567,non-informative
cc31fe6f-b19e-4fc7-b414-31d9f45ee0eb,It's really a extra ordinary fantastic app,5,0,,2024-08-17 23:25,,,,pho913533,non-informative
a92d4197-202e-444e-be32-0347ac50bc6a,Not able to download. showing error in downloading,1,0,3.3.47.202133844,2022-07-29 9:11,,,3.3.47.202133844,pho913934,informative
6f79397c-61e3-45c9-93eb-8a70784c5b85,i love this app,2,0,,2023-09-13 11:39,Dear user. if you like the app. please give us more stars. Also. let us know if you have any suggestions for improvement at support@pho.to.,2023-09-14 8:06,,pho690036,non-informative
57d3f35e-50dc-41e3-af10-39b5988b5783,"""brilliant n' awesome as well !""",5,0,13.5.411,2024-05-03 13:57,Hello Jackie. we're thrilled you found our app brilliant and awesome! Your kind words mean a lot to us. Thank you for taking the time to share your positive experience with Photoshop Express Photo Editor. Feel free to reach out if you have any questions or need assistance; happy editing! ^Sam,2024-05-03 14:23,13.5.411,pho287003,non-informative
60e9a3b3-29ea-4375-a440-3c059522155c,Hi is good app . . .,5,0,3.7.407.202286942,2023-10-28 12:27,,,3.7.407.202286942,pho964198,non-informative
37b027aa-b5df-4d43-8977-13c32edf29df,It's most good app,2,0,,2022-12-11 9:43,,,,pho300270,non-informative
8b2c9796-2066-4ff8-864c-b738ea655f40,nice like me so cute handsome face clean wow nice remini like app thanks for you support me,4,0,3.7.618.202379263,2024-05-10 22:05,,,3.7.618.202379263,pho892094,non-informative
0b0d0abd-e026-4634-8420-f326a6c8594d,Movement in pic like butterfly.. I like it,5,0,4.1.0.7,2024-06-27 10:48,,,4.1.0.7,pho797480,non-informative
b84e69e4-6a6f-40c2-bbf6-e71bedf6d53f,This app is so frustrating! Every time i save the picture it takes so long to load it took me hours to finish one photo. This app is a waste of time.,1,1,3.6.3.202143253,2022-09-11 20:31,,,3.6.3.202143253,pho886541,informative
81e47e37-12cf-4556-ba28-b852eeb2e921,Best app I've ever had.,5,0,,2022-11-24 2:37,,,,pho17252,non-informative
0fee545d-a541-473f-bdb6-204f1c43db88,Poor application don't install it,1,0,1.543.170,2024-06-14 13:42,Hi Crescent Crescent. sorry for the trouble. We would like to know if you are having any problem with the app? Could you please let us know the reason behind this low rating at polish@inshot.com? We will improve the app based on your suggestion. Thanks in advance.,2024-06-16 23:31,1.543.170,pho462782,non-informative
3c42694b-50e4-4588-8bab-4c2a39648687,this is an amazing app .love it,5,0,3.12.73,2023-10-27 8:57,,,3.12.73,pho672503,non-informative
200569af-5aae-4ff5-92e1-d602f74eb23c,I can't find or open the Animals photos from my photo album. I want to edit the Animals photos too. Thank you!,4,0,2.0.7.202110813,2022-03-26 2:13,,,2.0.7.202110813,pho893701,informative
87b1cfaa-8b32-4741-8384-599f9c5ae406,wow very beautiful perfect to me,5,0,3.13.4,2024-09-13 14:23,,,3.13.4,pho664812,non-informative
c0f0de94-1bd1-4fd1-982b-264bc18f61eb,My photos next level,5,0,,2024-08-22 6:56,,,,pho950367,non-informative
c1121281-1af4-4e7e-8700-599e0c27e20b,Really amazing application for pictures edit ing.,5,0,8.7.1035,2023-01-09 9:08,,,8.7.1035,pho276861,informative
41df638c-4e91-40f3-8ea6-8328c921af39,So far I am enjoying it!,5,0,1.462.152,2023-08-03 22:51,,,1.462.152,pho524312,non-informative
0a62b61f-0352-4840-9c74-3962df56586d,It won't let me open the app it says it keeps stopping as soon as I open it,1,1,21.8.6,2023-03-17 16:30,Hey there. thanks for letting us know about this issue. Our tech team has already found the cause of this issue and fixed it. Please go to your device's app store and reinstall the app. If you have any other concerns. feel free to contact us via our Help Center https://picsart.support,2023-03-20 8:17,21.8.6,pho106637,informative
2d4ab234-3baf-4d70-b86f-d78ef0f71781,Very good app. helped me a lot in making the cover of my first Dancehall track. Really nice to use.,5,88,3.12.6,2022-03-19 23:37,,,3.12.6,pho638222,informative
f40476a0-22f5-43f5-9dd2-398ef4cdb0d5,Loved the app but remove vip and keep more features and keep video editing with all m9re features so for that i gave 5,5,0,3.3.0.2,2022-05-04 9:54,,,3.3.0.2,pho798366,informative
f18fa5bc-96e9-424f-ba6c-43a5a868be5c,Good app. all in one,5,0,1.662.161,2024-09-25 12:01,,,1.662.161,pho2454,non-informative
59640081-5c42-4be5-85b2-b098eeb82a0a,Wow so nice bhai please,5,0,25.4.5,2024-08-25 3:04,,,25.4.5,pho132048,non-informative
b72b4340-0773-4e82-8846-cce87d9e4d97,I was expecting something more like regular Photoshop. Can't draw from on a blank canvas. no layers. no selection.almost nothing that I would use PS for. Just a bunch of preselected effects basically.,2,4,8.1.958,2022-05-10 12:24,Hi there! Thank you for taking the time to share your thoughts with us. If you'd like to suggest features and improvements to the app. please write to us at PSX-Feedback-Android@adobe.com. it will be very helpful for us to provide an even better experience in the future. Your feedback is very important to us.^Chan,2022-05-31 9:57,8.1.958,pho259792,informative
1ec8f1c7-0779-4773-9c2a-13218754a7f7,I use the app to create promotional flyers for my band,4,0,22.7.4,2023-07-17 13:39,,,22.7.4,pho140861,informative
a8d14188-fd1f-4549-a160-7fc77279ee58,Good app but network ius,5,0,,2024-07-07 3:14,,,,pho516645,non-informative
1af33716-78fc-4f1f-8056-e563d46d85aa,This app is slowly slowly working plz fix it problem,3,0,19.9.4,2022-06-15 10:57,Hi. Picsart can run slow on your device when it gets overloaded with cached data. To speed up the app. please go to device Settings > Apps > Picsart > Clear Cache > Clear Data. If the issue still persists. please contact us at https://picsart.support so that we can investigate the issue further.,2022-06-16 2:51,19.9.4,pho132706,informative
f64e8f94-87fd-4666-802d-40c39e159690,This app is very poor. It's feature is also poor,1,0,3.7.708.202417454,2024-08-04 0:02,,,3.7.708.202417454,pho882076,informative
c79036a9-b500-448d-bea7-90077c7e50de,This is good app for medium black people,4,0,,2023-12-28 20:22,,,,pho933745,informative
be8efaa8-3bd2-4efa-abea-1b103cde84b2,This app totally good,5,0,3.0.38.202125050,2022-08-25 13:21,,,3.0.38.202125050,pho957040,non-informative
9f53ec49-5d67-446b-bac3-5123119488db,The best editor app,5,0,1.521.165,2024-04-01 2:42,,,1.521.165,pho504280,non-informative
e0eebdd6-4109-4c28-bd76-8bc69881c935,This game take very much time to download photo or to crop a photo but. I like to this game. that's why I am rating this game (4 *star). (),4,0,,2024-09-09 7:02,,,,pho635562,informative
d783ebc1-197d-47d8-a9f4-824c93dcddd8,I have installed the app and it has started crashing. I thought this app is good for editing photos. but it is rubbish. for this I am giving one stars,1,0,21.8.6,2023-03-18 2:13,Hey there. thanks for letting us know about this issue. Our tech team has already found the cause of this issue and fixed it. Please go to your device's app store and reinstall the app. If you have any other concerns. feel free to contact us via our Help Center https://picsart.support,2023-03-22 9:45,21.8.6,pho94388,informative
adf3e6b9-278f-4b28-8875-e6876761fdac,Wonderful app. nice features. happy either the functioning of the app.,5,0,,2023-09-23 7:39,,,,pho642795,informative
8f9027c2-cc58-4db9-a5b4-9487b4ad4bd7,so beautiful and lovely look,3,0,3.12.52,2023-04-03 2:29,Dear user. we care about your feelings and every little encouragement makes us better :) So. if you like this app. please consider giving us a 5-star rating. If you have any suggestions. please let us know at support@pho.to.,2023-04-03 3:33,3.12.52,pho671658,non-informative
e60726ab-62c8-4689-b200-bfb687d0d480,everytime i seen ad after i complete my edit please solve this problem,3,0,3.7.683.202404812,2024-07-04 8:18,,,3.7.683.202404812,pho882920,informative
fac5a69f-e3ce-4c1f-8f02-3f16062559b6,Sir please request photo edit krata hua remini mark kyu aa rha hai photo bekar ho fha hai please solve this problem,5,0,3.7.510.202332933,2024-02-06 1:03,,,3.7.510.202332933,pho956599,informative
28027855-8a0d-47eb-a89e-bf229a557785,Very good editing in phone can be done with this . But can't do editing with this on laptop. Many features.,5,0,,2023-09-15 10:19,Hi Aditya! We are grateful you took the time to leave us a review. We're glad you're enjoying our app. 😃 👍 ^DC,2023-09-24 11:03,,pho261939,informative
e39f993d-565e-4102-bb7f-d004eea84f4e,This is a best video editor and photo editor app i use this app dailey,4,0,,2024-09-19 23:28,,,,pho114160,informative
c7eb9843-e07a-4be8-b89b-7340e29f7c46,It's worst app ever made because i tried to buy membership like 7-10 times even after changing the Google account password maytimes but it didn't worked because of it my work didn't completed I've been wasted 5-6 hours of time by using this worthless app I'm very much disappointed,1,1,,2023-10-14 13:53,"We'd love to look into this for you. Can you please email us at support@picsart.com with the subject line ""App Store Review""? Our team will investigate and work on a fix for your Gold subscription.",2023-10-17 4:55,,pho84080,informative
6bd32f47-dab4-47a5-b464-9cfa36802b77,Nice pic namaste I will call you,5,0,3.12.84,2023-12-25 0:13,,,3.12.84,pho692228,non-informative
ac86bdd9-7732-44d0-93ae-aee957fe8152,Live this app. I use it for birthday wishes. Congrats etc,5,0,1.402.119,2022-04-06 7:49,,,1.402.119,pho480632,informative
03ffd208-32a7-474d-a5a7-0823762ebd6f,U did a great job before days not now all r uninstalled u because u taking a lots data showing over ads ur time is over. Be carefull. What the hell this badly worst app damn taking my data all not working. Chetha app edhi thu data bokka motham,1,0,3.1.44.202128750,2022-09-17 10:27,,,3.1.44.202128750,pho901680,informative
29cee885-6e1e-45ef-9e4c-277c39001736,The enhancement takes too long. It's getting so annoying especially if I'm in a hurry. The enhancement usually takes about almost 30 minutes and I'm not happy about it.,1,0,3.7.349.202261398,2023-09-05 7:07,,,3.7.349.202261398,pho885927,informative
65d60e21-1b96-4e88-9d10-16ac531c91a0,When I add pictures to my edit their quality is reduced significantly. I can't even edit pictures in their own quality now if I add them. Is this now a premium feature?,1,1,23.9.5,2024-01-19 6:44,"Thanks for the feedback - we'd love to look into this for you. Can you please send us an email at support@picsart.com with the subject line ""App Store Review""? Our team will investigate and work on a fix for you.",2024-01-23 3:28,23.9.5,pho86648,informative
756b361c-a632-44f2-b579-9f1ac4145d16,Costs money for everything,1,1,3.18.0,2024-06-15 4:20,,,3.18.0,pho870045,informative
2ded3eec-1040-45d8-bc0a-805b98c2c4eb,this app is so unless,1,0,2.1.1.202112761,2022-04-07 17:33,,,2.1.1.202112761,pho961996,non-informative
54509d33-1f59-4f19-9b54-fd765953668f,It is really awesome app.,5,0,1.7.4,2022-01-06 9:29,,,1.7.4,pho942578,non-informative
5873e585-3e22-43d7-9c9d-e1eea48f824c,This app is good but advertising is not good,3,0,3.7.661.202392535,2024-06-16 8:55,,,3.7.661.202392535,pho892257,informative
7c90a245-4e5e-4c0d-a0d3-c936d38426b1,So far so good. Some basic editing done.,5,0,1.417.127,2022-08-04 3:33,,,1.417.127,pho464697,informative
b09b050c-cdc0-4656-a056-e18a6548e7fe,"Ads are so annoying that basically PicsArt want to say ""Get Our Premium subscription or uninstall our App"". Uninstalling it after using for almost 8 Years.",1,0,23.9.5,2024-05-01 22:33,We hear your frustration. but ads are essential for Picsart and allow us to offer a free version of the app. If you want to create ad-free you can always upgrade to Picsart Gold.,2024-05-06 7:23,23.9.5,pho82832,informative
255d2e7c-9635-4ddf-aecf-1b5bd036e0ce,Have to pay so much for something I can't even use with out data.what is the point then.I am only paying extra!!!! Even the things that are premium things can't use them with out data?! Why do I pay then?,1,3,22.5.10,2023-07-03 9:17,Hi. you can edit offline! However. you need internet connection to sign into your Picsart account and share your edits. use some of the effects. remix community photos and stickers. If you have any other questions. feel free to drop us a message at https://picsart.support,2023-07-04 7:55,22.5.10,pho85674,informative
74550880-4dbd-48cf-acd6-dc5fd0985f32,It's good Ya bohat kmal ka app ha ma is 2014 sa istmal kar rha hon .or is ka water mark nahi ha ya boht hi kam ki bat ha mato yahi kahta ho k is ko ak bar use kR k dakhn bohat kmal ka app or ap sa gozarash ha k mara YouTube channel ko likes karn or subscribe karn thanks. My YouTube channel name. Italian wood style .,5,1,,2022-01-22 3:36,,,,pho229103,informative
535220f5-85af-4e67-9aa6-a4065754fb68,It very good 4t editor app,5,0,1.662.161,2024-09-16 8:09,,,1.662.161,pho2463,non-informative
b75a45b2-8dd8-421a-b744-31b881526ec4,still learning how to use the app thank you for opportunity,5,0,11.4.162,2023-12-01 12:25,Hi there! Thank you for your positive review! Please check our guide for the app [https://helpx.adobe.com/photoshop-express/get-started-android.html]. We truly appreciate your feedback and are thrilled to hear that you are enjoying our app. 😃 👍 ^DC,2023-12-01 21:51,11.4.162,pho280909,non-informative
7da1a837-d521-4595-83e2-5d66913aedbe,"Not doing ""free trials"". not paying for stuff I can get for free. Sneed.",1,0,,2023-05-20 8:33,We appreciate your feedback and understand your concern. Picsart will always offer a robust. free version of the app with access to hundreds of free features and millions of pieces of free-to-edit content that you can access without a subscription.,2023-05-23 3:19,,pho109629,informative
b715e161-d05d-4bb3-a349-6f38c268b024,when you make the app single payment maybe it would be interesting,1,1,3.3.5,2023-08-19 1:34,,,3.3.5,pho869815,informative
e0d3475f-9f16-4c74-a9e8-cdbea1291217,U need to watch ads,1,0,,2022-09-17 23:25,,,,pho934032,informative
39cefea8-c266-4005-b4b2-8041dfd800fd,I'd say it's a pretty neat app. Just wish it were a little easier to navigate. Maybe organize by filters. overlaps. ect.,4,6,,2023-10-18 16:47,,,,pho632549,informative
330fa9a2-4f4f-4ff8-aa00-208d57e3b946,I use many app of this type. But those were ad scams. This app is very useful for enhancement.,5,1,3.7.625.202381618,2024-05-24 7:05,,,3.7.625.202381618,pho881310,informative
