reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,review_id,manual_screening
c7f25751-5bb7-4615-b3eb-f5d63a68f344,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,It is my go to tool. I wish I can afford the Pro package.,5,0,,2022-05-31 5:21,,,,art132170,informative
1881e144-67a8-48c8-8075-cc0ca5b22f83,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Awesome new system where you have to claim free credits. however you can't actually claim them? The greed is real Edit; the more I find has been updated the worse the app has become. So sad to see such a cool app go to waste. Luckily sometime soon there will be a better more accessible AI app out,1,1,1.3.1,2022-09-05 21:37,,,1.3.1,art227853,informative
461d0ee0-8ff6-4788-b7d0-be40c3d2a68a,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Uninstalled as soon as I saw the credit system. Basically you get 5 free images and then have to pay for the rest. Find a different app,1,1,,2022-06-21 12:52,,,,art228766,informative
ca8fb2dd-0504-4fa1-bb80-bcd2e8fc0530,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,this thing is crazy. i love it and its so much fun to set with your friends a think about whats going to be the next funny phrase thats going to make for an awesome abstract paintings,5,1,1.1.8,2022-03-19 8:33,,,1.1.8,art206707,informative
a08732f7-d85b-4a17-9963-d33d52a908c3,Brandspecimen,https://play-lh.googleusercontent.com/a-/ALV-UjUs5A6yaOkKnc_Z4ovPSL3mXFSzM7tbJ-M3BRaA3bZ2Ox9cvmJ_,The fingers give it off,3,0,2.2.1,2024-08-04 5:58,Thank you for your feedback. We are continuously working on improvements and hope to gradually resolve these issues.,2024-08-05 3:18,2.2.1,art238270,informative
5cbf1e12-84f3-4c1e-94fa-633974bac950,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,The new update is cool,4,3,2.10.9,2023-05-16 5:23,,,2.10.9,art188533,informative
e19307c0-b626-43ad-9645-884fb7c421bb,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Very poor user interface. not clear what to do and no easy way to leave certain screens. If you expect people to upgrade to pro you need to give them a little more in the trial version.,1,0,3.0.8,2023-10-29 15:23,We are constantly upgrading our systems so that you can have the best AI Avatar Art experience possible! Please make sure you’re using the latest version available and reach out to us via store@davinci.ai if you have any further feedback!,2023-10-31 4:12,3.0.8,art174948,informative
cdaf93b4-83f7-46e9-9f71-180908cdb080,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,amazing Update Idea: have an option to show the theme after posting. Some of the community posts are amazing. but idk what theme they used. It'd just be a nice lil feature,5,0,1.75.0,2022-05-11 17:36,,,1.75.0,art207514,informative
548d8265-5e35-4758-85d8-523208ca8c32,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Didn't get daily credits,1,1,5.1.0,2024-09-12 2:34,,,5.1.0,art5089,informative
fb059b72-8e92-4820-8155-c89c9d71ba86,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,its always girls but not boys,1,0,1.16.3,2023-06-11 10:57,We appreciate your feedback and will be sure to pass this along to the rest of the team. If you have additional suggestions. please reach out to us at photoleap.android.support@lightricks.com.,2023-06-12 3:43,1.16.3,art32219,non informative
745e21ee-e8ef-480d-9144-cd2ecb8691d6,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,I love the abstract art style,5,0,1.1.5,2022-01-02 11:42,,,1.1.5,art213678,informative
8d7ecf39-1f28-4924-8482-e6cc143e7265,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,I've been using this app for approx 1 year. Easy to use and getting better and better at counting fingers. Unlike many other more accessible apps. I very much appreciate the ability to input an image that blends with the typed in description. It would be almost perfect if the app permitted the user to weight the influence of the image vis a vis the typed description. but maybe we'll get there someday. There seem to be constant small improvements.,5,29,4.1.5,2024-01-19 12:03,,,4.1.5,art239509,informative
b0cdae4d-9c03-4720-af00-15a8855f6c19,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Good for Poster Design,5,0,2.281.0,2024-09-21 10:22,,,2.281.0,art69993,informative
d708d46d-6ec6-4418-9d93-ccc525495855,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,The app is not working on my phone .why is this happening after I can't pay to keep the subscription.what is this ?????,1,0,2.258.0,2024-04-11 11:56,Hi there. thanks for reaching out to Canva. We're sorry to hear your app not working. Kindly send us a complete detail with a recording through canva.me/android to further assist you. Please keep your app updated to get its full features and improvements. Regards. - Lily,2024-04-13 4:59,2.258.0,art97432,informative
ad3244b0-5e52-46c7-9344-0d01ab96bf9a,Aundrea,https://play-lh.googleusercontent.com/a/ACg8ocK13_ORPnNxoWKchtDT3T2x3iPL-bHzcAIenv3w8PoujroiXQ=mo,I dmcouldn't get into it after i down loaded this app. So If im already having trouble with itI din't need it and since i cant get into the app i dont have propper information to cancel in 3 daysso it hasn't even been an hr . Im telling your company here and now cancel anything and everything that i have to do with this app. I will go with a differant app for sure! Thank you and you got 1 star because i couldnt give you omzero with a review i will be uninstalling your app right now!,1,5,1.0.3,2024-07-30 21:05,,,1.0.3,art201518,informative
b72bbeb6-a2f0-4aed-b8d2-097434cc5b08,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,The AI is good when using a well described prompt. Really wish the app itself had dark mode.,3,0,1.12.0,2023-07-11 23:16,,,1.12.0,art228810,informative
dc96c83f-dc4f-4b80-ae66-983cf405fb53,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,empresiv prfet WuTang 4eva,5,0,1.0.24,2023-09-18 10:19,,,1.0.24,art262816,non informative
9dd5ef3a-a11d-4950-b595-c4bdaa69abae,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Doesn't work very well . Nothing looked like me and the portrait had earing on face and glitchy markings. I tried to do it again but wants to charge me . I'd be willing to pay but the trial is e extremely limited . They're all like this but to be able to charge ? You gotta get that right. Give them a trial long enough to produce results or they won't buy it . Most users would be willung to watch an add too .This actually motivates me to build a better app of this type. Hmm.. Unity here we come,1,1,1.8.3,2023-03-14 20:08,We apologize for your less-than-stellar experience with starryai. but payment is not necessary. In addition to the 5 free daily credits. you get 2 additional credits for watching a video. and 3 each for 4 social media shares every 3 days. We will also soon release an option to make avatars based on your own image easier!,2023-03-15 6:37,1.8.3,art227135,informative
11fec67c-4562-4558-b704-3242e2d4b66a,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Totally fine with the app. But I can't cancel the free trial . And I'm broke aas hell lol.. how can i cancel the free trial . Please reply ASAP,5,0,,2024-04-25 15:15,,,,art80770,informative
c0a732b6-b709-4e73-bf4d-d8529783d51f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,I love this app I just wish you didn't have to pay for unlimited tries at a.i art,4,0,1.1.3,2022-08-03 2:16,,,1.1.3,art247876,informative
